(-86.963718, 34.807364)
(-122.703199, 45.365699)
(-122.705987, 45.377553)
(-91.86182, 41.99226)
(-87.578765, 37.86101)
(-90.085331, 31.552099)
(-121.10725, 38.9539)
(-86.175103, 32.363585)
(-96.615355, 32.846432)
(-69.768516, 44.294571)
(-69.768516, 44.294571)
(-69.768516, 44.294571)
(-69.86746, 44.151452)
(-82.99149, 40.804958)
(-73.461746, 44.52486)
(-97.871334, 30.322209)
(-96.3338, 30.6827)
(-80.775826, 41.071327)
(-91.024608, 38.44825)
(-88.611635, 43.141345)
(-85.012871, 45.201084)
(-117.307, 34.538)
(-78.81473, 35.719656)
(-88.170298, 41.6092)
(0.0, 0.0)
(-94.073009, 36.399748)
(-95.326756, 41.476837)
(-86.407997, 39.768002)
(-92.05586, 44.997074)
(-77.427135, 35.488944)
(-82.739556, 27.788484)
(-124.273105, 42.057554)
(-108.024802, 36.803065)
(-96.699997, 32.881285)
(-96.537615, 38.369282)
(-96.537615, 38.369282)
(-95.602824, 30.003722)
(-96.608703, 33.285908)
(-117.655228, 35.004459)
(-121.138942, 38.681434)
(-91.950851, 47.710422)
(-90.4112, 36.76673)
(-82.319454, 41.380857)
(-95.33398, 35.775773)
(-94.389524, 39.232933)
(-87.749959, 45.060017)
(-98.680328, 30.755965)
(-95.400548, 47.526833)
(-105.442765, 39.435282)
(-80.843733, 35.463777)
(-87.139082, 45.052997)
(-84.481312, 30.884878)
(-88.254858, 30.672536)
(-89.11181, 41.346971)
(-85.3738, 39.9114)
(-89.936332, 41.253204)
(-87.698663, 37.522686)
(-92.839175, 41.748791)
(-122.30127, 48.42829)
(-95.879, 44.234)
(0.0, 0.0)
(-83.225235, 42.73705)
(-107.8793, 38.464855)
(-95.161246, 38.754941)
(-81.849357, 41.373822)
(-83.15356, 40.084614)
(-88.768278, 34.248574)
(-99.946989, 31.749089)
(-79.421749, 36.573074)
(-79.42385, 36.575074)
(-96.730933, 43.7635)
(-97.79335, 42.353428)
(-83.744853, 42.301119)
(-93.536637, 44.836532)
(-124.427671, 43.113966)
(-95.779366, 39.461321)
(-85.505227, 30.962269)
(-106.342537, 42.923482)
(-89.7636, 43.4839)
(-79.751989, 36.053156)
(-82.299981, 38.388492)
(-99.104606, 37.62144)
(-86.413284, 35.781315)
(-74.255974, 44.447035)
(-77.640483, 35.27875)
(-84.980841, 34.301627)
(-72.0238, 42.427966)
(-95.381116, 45.640344)
(-96.943638, 42.783638)
(-97.691566, 30.301533)
(-94.81812, 39.751705)
(-118.927036, 36.05402)
(-109.654103, 38.474128)
(-72.803124, 43.668089)
(-94.947528, 39.093166)
(-86.441268, 36.920722)
(-77.677712, 43.23481)
(-94.073634, 43.816739)
(-93.351715, 45.011581)
(-104.223282, 32.411016)
(-95.4435, 29.159863)
(-83.18337, 40.448637)
(-95.721796, 46.284185)
(-122.578201, 47.661343)
(-110.881904, 45.882738)
(-80.048231, 39.155421)
(-97.093075, 44.007389)
(-84.613693, 41.907623)
(-83.426174, 42.70797)
(-85.522465, 30.244897)
(-85.672473, 30.164623)
(-81.940691, 26.449106)
(-93.941899, 44.80981)
(-95.126953, 29.673539)
(-76.117744, 36.903488)
(-76.967404, 35.533037)
(-124.19592, 41.748551)
(-73.965787, 41.488336)
(-111.801282, 40.453245)
(-116.13884, 44.941246)
(-95.4951, 30.191)
(-92.502244, 43.858722)
(-75.622609, 40.479577)
(-96.856329, 32.556887)
(-122.851003, 42.304155)
(-120.135574, 48.458736)
(-79.592312, 35.433999)
(-116.403054, 43.58451)
(-115.466477, 47.763579)
(-92.67025, 36.95335)
(-105.4352, 39.4125)
(-90.757402, 33.739633)
(-93.413816, 37.60862)
(-80.980729, 34.902827)
(-90.414745, 40.010319)
(-80.559402, 34.987801)
(-120.4438, 34.6321)
(-80.623856, 40.351221)
(-80.957621, 35.481272)
(-124.096499, 40.963187)
(-70.07314, 44.290973)
(-99.8333, 40.135308)
(-76.151508, 39.972249)
(-106.509148, 39.582218)
(-111.90657, 43.826055)
(-78.966202, 42.9645)
(-105.651934, 40.841801)
(-92.786, 42.584)
(-105.299112, 39.508607)
(-92.454459, 35.140608)
(-93.871109, 45.417661)
(-72.510479, 44.217541)
(-93.643288, 41.619637)
(-78.497561, 40.013819)
(-79.56079, 37.339549)
(-82.346, 38.308)
(-81.878968, 36.19498)
(-85.26524, 42.325018)
(-69.901328, 44.60025)
(-69.901328, 44.60025)
(-80.850663, 35.801804)
(-94.261032, 35.227712)
(-70.89045, 43.179218)
(-84.072779, 39.662052)
(-94.342975, 46.035065)
(-75.4975, 39.7761)
(-157.710484, 21.367912)
(-84.136106, 39.732691)
(-88.855925, 42.25607)
(-94.900139, 47.488895)
(-94.8988, 47.48875)
(-94.36419, 35.311273)
(-94.349294, 35.320804)
(-94.36419, 35.311273)
(-97.877964, 30.586977)
(-79.353348, 35.242371)
(-104.7997, 39.9798)
(-94.988654, 43.613739)
(-112.40912, 42.870295)
(-122.158302, 38.085485)
(-104.425143, 39.760273)
(-76.480524, 36.850711)
(-122.13223, 45.577305)
(-91.761686, 37.95177)
(-84.294083, 37.57494)
(-77.945725, 43.079797)
(-77.877864, 40.847661)
(-85.119962, 42.976894)
(-95.062556, 46.261859)
(-76.268, 41.041393)
(-97.6714, 38.5799)
(-96.64208, 33.086836)
(-86.195499, 41.678537)
(-80.303277, 36.053956)
(-82.886892, 35.484425)
(-81.658743, 35.738588)
(-93.163673, 45.062004)
(-78.845164, 35.945642)
(-81.263, 35.4624)
(-77.973479, 38.012546)
(-83.230349, 42.523705)
(-87.862884, 42.409268)
(-97.3441, 32.5794)
(-111.632202, 40.215199)
(-98.78695, 38.5195)
(-90.017671, 38.516374)
(-124.126794, 43.696137)
(-86.21094, 40.129758)
(-80.383259, 40.812261)
(-85.579387, 43.519023)
(-79.447661, 37.339795)
(-94.974414, 38.769236)
(-90.039101, 40.568345)
(-93.729797, 41.800301)
(-119.137795, 46.258793)
(-88.89112, 36.19255)
(-89.20892, 44.055048)
(-89.848328, 44.741386)
(-95.471309, 37.274273)
(-106.98757, 38.86715)
(-92.6583, 37.6376)
(-84.237531, 42.333605)
(-92.929737, 41.423571)
(-95.707218, 39.016025)
(-96.601582, 43.577869)
(-111.4019, 45.284)
(-111.4019, 45.284)
(-82.766817, 36.8668)
(-119.656199, 37.536317)
(-86.800189, 39.641074)
(-92.43466, 42.548419)
(-93.657721, 47.743019)
(-111.291971, 45.270288)
(-119.96868, 38.931885)
(-96.857903, 33.098301)
(-81.477538, 28.500923)
(-81.482222, 28.507358)
(-81.476986, 28.500683)
(-78.062056, 33.933885)
(-97.230973, 27.596153)
(-75.965492, 42.091424)
(-94.499607, 46.089339)
(-147.646937, 64.870351)
(-71.612249, 42.865963)
(-82.439067, 27.109261)
(-105.202499, 39.817001)
(-89.076514, 43.181936)
(-80.753022, 41.302049)
(-123.81, 40.22)
(-101.46528, 32.248983)
(-83.845026, 42.503522)
(-100.814591, 46.823211)
(-70.276306, 43.859028)
(-70.276306, 43.859028)
(-72.710722, 41.334111)
(-85.243059, 41.437426)
(-85.252764, 41.440915)
(-83.200531, 38.73808)
(-88.229377, 42.053834)
(-121.933495, 40.518558)
(-122.350981, 39.768457)
(-121.66227, 44.37802)
(-88.445606, 44.478228)
(-78.5927, 42.7154)
(-96.161888, 41.551327)
(-72.606947, 44.921201)
(-103.87505, 44.497064)
(-89.087064, 37.746949)
(-82.33485, 35.607466)
(-82.339316, 35.588771)
(-122.082417, 37.064325)
(-82.1771, 41.0558)
(-122.716216, 38.822132)
(-112.360229, 43.201866)
(-95.9031, 36.2143)
(-113.467773, 47.17418)
(-79.495761, 39.116665)
(-93.388145, 44.924505)
(-78.710843, 43.293242)
(-73.861706, 42.811443)
(-82.887993, 40.07745)
(-84.99069, 45.622318)
(-89.931856, 36.87657)
(-95.375129, 38.911998)
(-113.56467, 37.071599)
(-76.448724, 40.99103)
(-87.422845, 30.38506)
(-87.420948, 30.384694)
(-87.420703, 30.384741)
(-86.063955, 39.475753)
(-92.55, 47.53)
(-119.33235, 47.105033)
(-77.298174, 42.912016)
(-122.445073, 45.555493)
(-114.105302, 46.835495)
(-75.513142, 40.8224)
(-75.519977, 40.810653)
(-75.513142, 40.8224)
(-93.225206, 45.334157)
(-78.939924, 38.279149)
(-94.689971, 38.829754)
(-94.50994, 39.081614)
(-94.513074, 39.081515)
(-86.431743, 38.554005)
(-89.517699, 44.478442)
(-90.586406, 38.586828)
(-105.299112, 39.508607)
(-116.817963, 47.727501)
(-92.122314, 35.875698)
(-95.1075, 38.938174)
(-77.131791, 38.868946)
(-92.44302, 44.273337)
(-89.770111, 43.370394)
(-80.650901, 41.021539)
(-82.417978, 27.474443)
(-91.387404, 39.962097)
(-95.371868, 38.936987)
(-93.256151, 30.299876)
(-86.2854, 37.4714)
(-95.41799, 29.058667)
(-84.579728, 33.263074)
(-77.6698, 40.546)
(-98.7729, 29.82727)
(-81.467332, 40.915838)
(-121.087838, 40.590213)
(-86.490842, 30.538317)
(-90.144432, 30.756764)
(-123.820024, 45.454411)
(-105.0634, 40.54322)
(-78.909033, 43.180971)
(-96.379066, 30.70148)
(-96.163073, 33.583878)
(-81.78526, 26.347996)
(-70.512802, 43.517081)
(-86.235153, 43.252169)
(-97.065808, 36.154323)
(-85.544117, 39.814489)
(-84.707489, 39.028088)
(-88.574674, 34.662229)
(-93.918101, 35.145722)
(-75.410454, 40.376658)
(-102.327379, 46.376215)
(-82.540948, 36.534778)
(-71.16592, 42.060943)
(-94.572089, 45.80965)
(-96.512888, 47.292383)
(-95.365993, 41.392456)
(-105.173875, 39.990968)
(-84.663642, 33.666317)
(-84.663642, 33.666317)
(-86.515451, 41.701924)
(-73.279, 42.418)
(-93.000112, 34.451581)
(-87.513603, 33.176899)
(-86.461012, 36.317435)
(-96.903, 35.328)
