,name,locality,region,postal_code,latitude,longitude,dgcr_id,year_established,tee_type,basket_type,holes,length,hours_to_play,multiple_layouts,hills,woods,par,sse,difficulty,rating,rating_count
5234,Sequoyah State Park,Hulbert,OK,74441,35.896629,-95.242179,5795,2012,Grass,Re-Tire Model A,18,16400,7.14,True,2,0,73,46.6,-1.4666666666666666,4.75,2
1045,China Peak DGC,Lakeshore,CA,93634,37.236316,-119.158487,6299,2013,Rubber,DISCatcher,27,12962,5.84,False,2,1,84,92.7,0.32222222222222235,4.5,8
2812,Jamestown Reservoir DGC,Jamestown,ND,58401,46.945319,-98.705633,575,2007,Concrete,DISCatcher,24,12666,5.73,True,1,0,82,70.3,-0.4875000000000001,4.43,7
5929,The Rock at Stonewall,Germanton,NC,27019,36.27593,-80.245988,8724,2016,Grass,Dynamic Veteran,18,12476,5.66,True,2,0,70,69.1,-0.050000000000000315,3.96,13
4881,Riverbend DGC,Estacada,OR,97023,45.30664,-122.366399,416,1996,Concrete,DISCatcher,27,12333,5.6,True,1,1,89,81.3,-0.28518518518518526,4.62,75
179,Arsenal @ Southern Hills,Danville,VA,24541,36.556903,-79.43255,9644,2018,Grass,Dynamic Veteran,18,12130,5.52,True,2,0,70,68.0,-0.1111111111111111,4.13,4
3408,Lizard Peak DGC,Sun Valley,NV,89433,39.607358,-119.7854,7177,2014,Terrawalks,DISCatcher,27,11989,5.47,False,1,0,92,80.3,-0.43333333333333346,4.0,9
2384,Harmon Hills,Fall Branch,TN,37656,36.353499,-82.648451,3840,2009,Concrete,Mach 5,27,11481,5.28,False,1,1,100,86.9,-0.485185185185185,4.73,70
6519,Whispering Falls DGC,Greencastle,PA,17225,39.769311,-77.770157,2416,2007,Rubber,DISCatcher,27,11212,5.18,True,1,1,92,85.7,-0.23333333333333323,3.45,38
2706,Idlewild,Burlington,KY,41005,39.037777,-84.735972,507,2000,Concrete,DISCatcher,24,11039,5.11,True,2,1,90,80.4,-0.39999999999999974,4.76,189
447,Bird's Ruins DGC,Marshall,WI,53559,43.181936,-89.076514,4800,2011,Concrete,Chainstar,28,10962,5.08,True,1,1,88,83.7,-0.15357142857142847,3.83,32
6243,Vallarta-Ast DGC,Deforest,WI,53532,43.176361,-89.315611,805,2001,Concrete,Mach 5,27,10948,5.08,True,0,1,81,79.4,-0.059259259259259046,3.94,52
464,Black Diamond DGC,South Wales,NY,14139,42.7154,-78.5927,3037,2008,Natural,Chainstar,18,10801,5.02,True,2,1,71,71.6,0.03333333333333302,4.15,43
4067,No Boundary - Main,Cranberry Township,PA,16066,40.7193,-80.0863,9978,2019,Concrete,DISCatcher,18,10742,5.0,True,2,2,71,78.4,0.4111111111111114,4.08,6
6465,West Lake Park,Davenport,IA,52804,41.520386,-90.680431,2418,2007,Concrete,DISCatcher,24,10732,5.0,True,2,1,89,79.5,-0.3958333333333333,4.38,28
5539,Spring Valley DGC,Spring,TX,77389,30.129187,-95.504985,1858,2005,Concrete,Mach X,28,10671,4.97,True,0,1,90,85.0,-0.17857142857142858,3.84,37
2180,Goat Hill Park,Oceanside,CA,92054,33.197687,-117.358714,4372,2011,Turf,DISCatcher,18,10588,4.94,True,2,0,69,67.0,-0.1111111111111111,3.85,20
1860,Farragut SP - Cutthroat,Athol,ID,83801,47.969271,-116.562317,9346,2016,Mixed,DISCatcher,18,10580,4.94,True,0,0,67,61.8,-0.28888888888888903,2.33,3
1548,Double Eagle - Marine/Navy,Ft. Gordon,GA,30905,33.42084,-82.134615,8824,2016,Concrete,Mach X,20,10563,4.93,True,2,1,71,72.0,0.05,4.25,2
2704,IDGC - WR Jackson Memorial DGC,Appling,GA,30802,33.64618,-82.28843,2039,2007,Concrete,DISCatcher,18,10485,4.9,True,1,1,68,66.3,-0.09444444444444461,4.45,49
494,Blue Lake Regional Park,Fairview,OR,97024,45.555493,-122.445073,5646,2012,Concrete,DISCatcher,18,10470,4.9,False,0,0,69,59.2,-0.5444444444444443,3.78,27
1501,Disc Side of Heaven - Champ,Jonesboro,AR,72404,35.821283,-90.775706,6079,2013,Turf,DISCatcher,18,10449,4.89,True,2,0,66,60.4,-0.31111111111111117,4.5,2
6580,Wildhorse Golf Club - Afternoon,Henderson,NV,89014,36.0597,-115.082,8341,2016,Grass,DISCatcher,23,10385,4.86,True,0,0,76,69.2,-0.2956521739130434,4.0,1
732,Caesar Ford Park - Championship,Xenia,OH,45385,39.66957,-83.83363,11044,2019,Concrete,DISCatcher,18,10346,4.85,True,1,1,68,68.4,0.02222222222222254,4.08,6
2310,Groves Park - The Mounds,Oak Ridge,TN,37830,35.991168,-84.277014,2719,2008,Paver,DISCatcher,18,10300,4.83,True,1,1,62,63.9,0.10555555555555547,3.6,34
6402,Waterloo Exchange Park,Waterloo,IA,50703,42.509992,-92.358102,1986,1987,Concrete,Mach 3,27,10286,4.83,False,0,1,84,78.7,-0.1962962962962962,3.82,19
6123,Turquoise Valley DGC,Naco,AZ,85620,31.34022,-109.94303,10656,2019,Natural,n/a,18,10235,4.81,True,0,0,60,61.6,0.08888888888888896,4.5,1
6030,Tom Brown Park,Tallahassee,FL,32301,30.446495,-84.212632,8877,2002,Concrete,DISCatcher,24,10225,4.8,True,1,1,78,74.5,-0.14583333333333334,4.25,8
5220,Seatac DGC,Seatac,WA,98168,47.4818,-122.30794,6718,2003,Concrete,Basket,27,10207,4.8,True,0,1,87,80.4,-0.24444444444444424,3.87,15
6025,Todd Park,Austin,MN,55912,43.6892,-92.954,801,1991,Concrete,Mach 3,21,10114,4.76,True,0,1,67,62.9,-0.1952380952380953,3.93,14
2754,Iron Hill,Newark,DE,19702,39.638753,-75.756279,2737,2008,Concrete,DISCatcher,18,10045,4.74,True,2,2,72,77.7,0.3166666666666668,4.29,72
6354,Wallace State Community College,Hanceville,AL,35077,34.071052,-86.788876,7682,2015,Concrete,DISCatcher,18,10029,4.73,True,1,0,68,52.7,-0.8499999999999999,3.58,6
419,Big Hill Lake - South,Cherryvale,KS,67335,37.274273,-95.471309,8842,2016,Concrete,Basket,18,10013,4.72,True,2,1,63,68.3,0.2944444444444443,3.83,3
4345,Palmore Park,Tuscaloosa,AL,35401,33.179891,-87.604315,6030,2013,Concrete,DISCatcher,18,10000,4.72,True,0,0,66,60.3,-0.3166666666666668,3.25,8
3527,Mahr Park - Champ,Madisonville,KY,42431,37.350539,-87.509175,8359,2016,Concrete,DISCatcher,18,10000,4.72,False,2,1,69,60.8,-0.4555555555555557,4.36,7
4240,Old Warrior Run DGC,Belden,MS,38826,34.257695,-88.891368,1646,2004,Concrete,Mach 5,18,9936,4.7,True,1,1,69,68.3,-0.03888888888888905,3.85,23
3682,Meade Olin Park,Brandenburg,KY,40108,37.997837,-86.16015,1540,1998,Concrete,Mixed,27,9916,4.69,True,1,1,84,79.6,-0.16296296296296317,3.39,22
605,Brian Head Resort DGC,Brian Head,UT,84719,37.683666,-112.834633,350,2004,Grass,Basket,18,9900,4.68,False,2,1,81,67.8,-0.7333333333333335,3.4,10
5062,Rough River Dam DGC,Falls of Rough,KY,40119,37.61525,-86.50442,7496,2014,Concrete,Basket,18,9835,4.66,True,1,0,64,59.0,-0.2777777777777778,3.75,2
5453,South Highland Sports Club,Mayfield,KY,42066,36.68192,-88.633929,6432,2013,Grass,DGA,18,9815,4.65,True,1,0,62,59.1,-0.16111111111111104,4.14,7
3282,Lemon Lake County Park - Gold/Silver,Crown Point,IN,46307,41.380798,-87.407742,2968,2008,Concrete,DISCatcher,18,9800,4.64,True,1,2,64,56.3,-0.4277777777777779,4.0,30
2722,Indian Creek DGC,Huntsville,AL,35806,34.735088,-86.70298,3692,2009,Concrete,DISCatcher,18,9800,4.64,True,1,1,58,57.5,-0.027777777777777776,4.14,37
2224,Granbury City DGC,Granbury,TX,76048,32.447911,-97.796851,4843,2011,Concrete,Mach New 2,22,9799,4.64,True,0,0,68,59.2,-0.39999999999999986,3.66,16
2527,Highbridge Hills - Highbridge Gold,Highbridge,WI,54846,46.368618,-90.747002,383,2004,Concrete,DISCatcher,18,9780,4.64,True,2,1,68,65.5,-0.1388888888888889,4.55,33
685,Buhl Park,Hermitage,PA,16148,41.249478,-80.48755,7784,2015,Concrete,Mach 5,18,9763,4.63,True,1,1,65,65.5,0.027777777777777776,3.8,20
2149,Giants Ridge,Biwabik,MN,55708,47.578422,-92.303921,1308,2000,Concrete,Mach 3,18,9720,4.61,True,2,1,72,67.0,-0.2777777777777778,4.29,14
5231,Seneca Creek State Park,Gaithersburg,MD,20877,39.13625,-77.259804,192,1990,Concrete,Mach 3,27,9685,4.6,True,1,1,81,79.8,-0.04444444444444455,4.26,73
3505,Mackenzie Park - Big Mack,Lubbock,TX,79403,33.589094,-101.828818,10019,2018,Concrete,Dynamic Veteran,18,9660,4.59,True,1,1,68,66.8,-0.06666666666666682,4.0,1
692,Burchfield Park - Devil's Den,Holt,MI,48842,42.608316,-84.588622,4535,2011,Concrete,Chainstar,18,9653,4.59,True,1,0,65,59.5,-0.3055555555555556,4.4,26
4355,Panther Creek State Park,Morristown,TN,37814,36.211286,-83.406252,9055,2017,Concrete,DISCatcher,18,9600,4.57,False,2,1,71,66.6,-0.24444444444444477,4.46,13
5070,Roy G. Guerrero DGC,Austin,TX,78741,30.245288,-97.705349,5424,2012,Concrete,DISCatcher,18,9588,4.56,True,0,1,61,66.5,0.3055555555555556,4.21,46
4429,Pendleton DGC,Ladysmith,VA,22546,38.003259,-77.531116,9498,2017,Grass,DISCatcher,18,9588,4.56,False,1,0,61,52.4,-0.47777777777777786,4.5,1
1445,Deis Hill Park,Dover,OH,44622,40.54407,-81.48021,2516,2007,Concrete,DGA,18,9577,4.56,True,2,1,62,66.4,0.24444444444444477,4.13,40
980,Chains Edge - Red,Ogilvie,MN,56358,45.901625,-93.455242,8951,2017,Natural,Prodigy,24,9570,4.56,True,1,2,82,82.3,0.012499999999999881,4.43,7
5374,Sioux Passage - Original,St. Louis (Florissant),MO,63034,38.854401,-90.282501,63,1995,Concrete,Mach 3,18,9566,4.56,True,2,0,63,55.9,-0.39444444444444454,4.06,51
3658,McFarland Park,Florence,AL,35630,34.787533,-87.676417,3716,2009,Carpet,DISCatcher,18,9511,4.53,True,1,0,58,54.9,-0.1722222222222223,3.5,14
5706,Sunset Park DGC,Mandan,ND,58554,46.8375,-100.9072,8690,1981,Concrete,Mach 3,18,9502,4.53,True,2,0,64,59.1,-0.27222222222222214,3.75,2
1488,Dickson DGC,Dickson,TN,37055,36.093845,-87.413924,7766,2015,Concrete,Mach 3,18,9495,4.53,True,1,0,68,59.1,-0.49444444444444435,3.96,12
499,Blue Ribbon Pines DGC,East Bethel,MN,55011,45.334157,-93.225206,1022,2006,Concrete,Prodigy,27,9493,4.53,True,0,1,88,77.6,-0.3851851851851854,4.71,131
6523,Whistler's Bend,Roseburg,OR,97470,43.316186,-123.21589,8241,1991,Concrete,Mixed,27,9475,4.52,True,2,1,81,78.9,-0.07777777777777757,4.42,12
4792,Renaissance Park - Gold,Charlotte,NC,28210,35.172583,-80.9024,587,1998,Concrete,DISCatcher,18,9407,4.5,True,2,1,70,73.7,0.2055555555555557,4.23,89
2005,Foundation Park DG Complex - Champ 18,Centralia,IL,62801,38.530853,-89.112677,1284,2006,Concrete,Gateway Titan,18,9400,4.49,True,1,1,72,65.3,-0.3722222222222224,4.52,52
823,Campgaw Reservation - Blue/Black,Mahwah,NJ,07430,41.058268,-74.19525,3411,2005,Gravel,DISCatcher,18,9400,4.49,True,2,1,70,65.2,-0.2666666666666665,3.43,15
5415,Smugglers Notch - Fox Run,Jeffersonville,VT,05464,44.596983,-72.799228,7962,2013,Mixed,Mach X,18,9370,4.48,True,1,0,63,58.6,-0.24444444444444435,4.36,7
4029,New Melle Lakes,New Melle,MO,63365,38.725859,-90.89421,10114,2018,Concrete,Prodigy,18,9357,4.48,True,1,1,62,58.4,-0.20000000000000007,4.06,8
1761,Emporia Country Club,Emporia,KS,66801,38.420226,-96.187652,5154,2011,Mixed,Dynamic Veteran,18,9354,4.48,False,1,0,65,62.8,-0.12222222222222238,4.0,4
5994,Tillman Park DGC,Fort Wayne,IN,46816,41.016683,-85.132555,9681,2017,Concrete,Spiderweb3,19,9350,4.47,True,1,2,69,52.8,-0.8526315789473685,3.69,8
1288,Credit Island,Davenport,IA,52802,41.499535,-90.607932,4775,2011,Concrete,Mach 2,18,9332,4.47,True,0,0,61,53.8,-0.40000000000000013,2.75,6
1446,Delagoon DGC,Fergus Falls,MN,56537,46.255567,-96.041027,8778,2016,Rubber,Prodigy,27,9328,4.47,False,1,1,87,78.4,-0.3185185185185183,4.0,1
6530,White Oak CC - North,Houston,TX,77088,29.875183,-95.474904,7415,2016,Natural,Chainstar,18,9324,4.46,False,0,0,56,48.5,-0.4166666666666667,3.28,9
2266,Green River DGC,Green River,UT,84525,38.994241,-110.156417,7620,2015,Rubber,DISCatcher,18,9307,4.46,True,0,0,68,54.6,-0.7444444444444444,4.0,5
6336,Wabash Washout,Lafayette,IN,47904,40.44235,-86.887994,6867,2013,Natural,Chainstar,18,9300,4.45,True,0,0,66,59.1,-0.38333333333333325,3.44,8
4394,Patterson Lake DGC,Dickinson,ND,58601,46.868297,-102.8387,743,2006,Concrete,DISCatcher,18,9300,4.45,True,1,1,65,64.3,-0.03888888888888905,3.69,8
5917,The Preserve DGC,Perkasie,PA,18944,40.422194,-75.233284,9578,2017,Rubber,Prodigy,18,9294,4.45,False,0,1,66,65.3,-0.03888888888888905,4.5,4
5346,Silver Creek Metro Park,Norton,OH,44203,41.0111,-81.6867,10193,2019,Concrete,Mach X,18,9247,4.43,False,1,0,61,57.4,-0.20000000000000007,3.5,4
2386,Harmony Bends DGC,Columbia,MO,65203,38.966612,-92.40504,8454,2016,Concrete,DISCatcher,18,9245,4.43,True,1,1,68,65.1,-0.16111111111111143,4.9,49
3934,Muddy Run DGC,Holtwood,PA,17532,39.847805,-76.283771,8867,2017,Concrete,Mach 5,18,9243,4.43,True,2,1,69,65.1,-0.21666666666666698,4.67,35
3624,Mayflower Hills,Roanoke,VA,24014,37.243711,-79.873833,9737,2018,Concrete,DISCatcher,36,9240,4.43,True,2,1,66,65.0,-0.027777777777777776,4.64,14
5407,Slippery Rock University,Slippery Rock,PA,16057,41.064535,-80.039785,4126,2012,Mixed,DISCatcher,18,9235,4.43,True,2,0,67,65.2,-0.09999999999999984,3.73,13
5655,Sugarbush - Peak Course,Warren,VT,05674,44.128242,-72.915986,181,2007,Mixed,Basket,18,9235,4.43,True,2,2,63,59.8,-0.17777777777777792,2.83,9
2637,Hornets Nest Park,Charlotte,NC,28216,35.320557,-80.873367,8957,1997,Concrete,DISCatcher,18,9235,4.43,True,0,1,70,64.1,-0.3277777777777781,4.32,19
5500,Spearfish Canyon Disc Golf,Spearfish,SD,57783,44.475039,-103.851496,4009,2010,Turf,Mach 3,27,9232,4.43,True,2,1,82,69.3,-0.4703703703703705,4.57,23
4382,Patapsco Valley State Park,Marriottsville,MD,21104,39.355499,-76.884003,250,1995,Gravel,Mach 3,18,9209,4.42,True,1,1,63,65.2,0.12222222222222238,4.02,56
1700,Edinboro University DGC,Edinboro,PA,16444,41.872635,-80.124567,9873,2018,Grass,DISCatcher,18,9205,4.42,True,0,0,64,57.0,-0.3888888888888889,3.7,5
4071,Nockamixon State Park,Quakertown,PA,18951,40.472322,-75.225481,20,2003,Rubber,Mach 3,18,9188,4.41,True,1,2,68,64.8,-0.17777777777777792,4.39,75
5226,Selah Ranch - Creekside,Talco,TX,75487,33.304125,-95.235119,4530,2011,Concrete,DISCatcher,18,9176,4.41,True,0,0,68,64.8,-0.17777777777777792,4.73,59
4775,Redline DGC,Glendale,AZ,85303,33.525893,-112.236725,9584,2017,Grass,Mach 3,18,9149,4.4,True,1,0,60,55.3,-0.2611111111111113,3.0,3
1966,Forest Hills Disc Golf & Country Club,Holiday,FL,34690,28.176477,-82.728502,5356,2012,Mixed,Mach New 2,18,9147,4.4,True,0,0,58,57.9,-0.005555555555555635,2.91,17
4985,Rockness Monster,Roxboro,NC,27573,36.431976,-78.98189,4376,2011,Granite,DISCatcher,27,9145,4.4,True,2,2,97,80.9,-0.5962962962962961,4.08,26
2439,Heartwood - 24,Trego,WI,54888,46.025843,-91.994625,4662,2011,Concrete,Chainstar,24,9140,4.39,False,2,2,80,80.2,0.008333333333333451,3.63,12
2674,Hunter Farm,Grove City,PA,16127,41.146425,-80.094387,7624,2015,Rubber,DISCatcher,18,9128,4.39,True,0,0,67,57.8,-0.5111111111111113,3.07,14
2611,Homestead Air Reserve Park,Homestead,FL,33032,25.512061,-80.390357,8336,2016,Pavers,Prodigy,21,9115,4.38,True,0,0,63,53.6,-0.4476190476190475,3.5,10
2237,Grand Vue Park - Black,Moundsville,WV,26041,39.943095,-80.732627,3640,2009,Asphalt,DISCatcher,18,9114,4.38,False,2,1,72,64.6,-0.4111111111111114,4.05,30
5322,Shore Winds DGC - Blue Course,Waterport,NY,14571,43.366623,-78.243749,4254,2010,Concrete,Mach 5,18,9110,4.38,True,0,1,71,64.5,-0.3611111111111111,4.18,14
1450,DeLaveaga Park,Santa Cruz,CA,95060,37.005329,-121.99591,35,1983,Concrete,Mach X,29,9100,4.38,True,2,1,87,82.0,-0.1724137931034483,4.44,104
3506,Mackenzie Park - Mack,Lubbock,TX,79401,33.586919,-101.829017,660,1993,Concrete,Mach 3,21,9088,4.37,True,0,0,65,59.3,-0.2714285714285716,3.9,21
200,Athens Regional Park DGC,Athens,TN,37303,35.4575,-84.638056,3378,2009,Concrete,DISCatcher,18,9050,4.36,True,1,1,68,64.2,-0.21111111111111094,3.61,19
5584,Stansbury Park,Stansbury Park,UT,84074,40.649396,-112.308855,7009,2014,Concrete,Basket,18,9050,4.36,False,0,0,72,57.5,-0.8055555555555556,3.17,6
3071,La Mirada Regional Park - Front 18,La Mirada,CA,90638,33.905404,-118.004875,252,1976,Concrete,Mixed,18,9045,4.36,True,1,0,54,46.3,-0.4277777777777779,3.91,77
496,Blue Mountain - Skyline Park,Danielsville,PA,18038,40.8224,-75.513142,3468,2009,Concrete,DISCatcher,18,9042,4.36,True,2,1,64,64.2,0.01111111111111127,4.17,21
2132,General Sibley Park,Bismarck,ND,58504,46.745167,-100.79303,483,2000,Concrete,Mach 1,24,9033,4.35,True,0,1,82,71.9,-0.4208333333333331,3.77,15
2897,Joseph Davis State Park,Lewiston,NY,14092,43.212151,-79.044952,14,1980,Concrete,Mach 3,27,9021,4.35,True,0,1,87,77.2,-0.3629629629629629,3.12,33
2169,Gleneagles DGC,San Francisco,CA,94134,37.715903,-122.424896,9006,2017,Turf,DISCatcher,18,9000,4.34,True,1,0,59,54.5,-0.25,4.11,9
640,Brown County Country Club,Nashville,IN,47448,39.20504,-86.284806,8005,2015,Concrete,DISCatcher,24,9000,4.34,True,1,1,79,71.5,-0.3125,3.93,15
3118,Lake Hiawatha Preserve,Clermont,FL,34711,28.571114,-81.780798,8347,2016,Concrete,DISCatcher,18,9000,4.34,True,0,1,65,64.4,-0.03333333333333302,3.97,16
1894,Fiddler's Creek Golf Center,Hayward,WI,54843,45.9912,-91.517438,1258,1999,Other,Mach 5,23,9000,4.34,True,1,1,78,63.7,-0.6217391304347825,3.05,11
5245,Seven Springs Mountain Resort,Seven Springs,PA,15622,40.023667,-79.297906,3067,2009,Natural,DISCatcher,18,8989,4.34,True,2,0,64,57.4,-0.36666666666666675,2.96,14
2079,Frost Valley DGC,Claryville,NY,12725,41.986665,-74.503929,8382,2015,Concrete,DISCatcher,18,8981,4.33,True,2,2,68,71.3,0.18333333333333318,4.06,8
5309,Shining Mountain - Main,Woodland Park,CO,80863,39.021259,-105.069549,8059,2015,Grass,Dynamic Veteran,18,8974,4.33,False,1,0,62,57.3,-0.2611111111111113,4.67,3
5581,Standing Rocks,Stevens Point,WI,54481,44.431117,-89.401503,1866,2000,Rubber,Mach 5,33,8956,4.32,True,1,2,101,92.8,-0.24848484848484856,4.13,38
1646,Earhart DGC,Atchison,KS,66002,39.536634,-95.147251,10067,2018,Concrete,Dynamic Veteran,18,8950,4.32,True,1,1,54,56.1,0.11666666666666675,3.0,2
1962,Fore Palms DGC,Jacksonville,FL,32225,30.365299,-81.508301,392,1995,Concrete,DISCatcher,24,8933,4.32,True,0,0,72,65.2,-0.2833333333333332,3.72,47
484,Bloomington DGC,Clinton,KS,66049,38.911998,-95.375129,8730,2016,Concrete,Mach 3,18,8928,4.31,True,1,1,60,55.6,-0.24444444444444435,3.86,7
664,Buckingham Golf Course,Kelseyville,CA,95451,39.001768,-122.752986,7993,2015,Grass,Basket,18,8914,4.31,True,0,0,62,57.1,-0.27222222222222214,2.5,1
3874,Moraine State Park,Portersville,PA,16051,40.9636,-80.108353,126,2004,Concrete,Mach X,18,8886,4.3,True,1,1,66,62.5,-0.19444444444444445,4.66,80
3832,Moccasin Creek DGC,Elkton,FL,32033,29.771521,-81.454214,4150,2010,Concrete,DISCatcher,26,8876,4.29,False,0,0,82,68.8,-0.5076923076923078,3.21,24
4516,Pine Valley Golf Course,Sherwood,AR,72120,34.912419,-92.211975,8349,2016,Natural,Dynamic Recruit,18,8864,4.29,True,0,1,64,63.5,-0.027777777777777776,3.88,4
5227,Selah Ranch - Lakeside,Talco,TX,75487,33.304125,-95.235119,4528,2011,Concrete,DISCatcher,18,8854,4.29,True,0,1,69,63.4,-0.31111111111111117,4.84,63
5009,Rollin Ridge,Reedsville,WI,54230,44.163957,-87.992325,5189,2011,Concrete,Mach X,18,8851,4.28,True,1,2,57,61.4,0.24444444444444435,4.79,115
5552,Springwood Players' Course,Burlington,NC,27215,36.068883,-79.550639,6460,2013,Mixed,DISCatcher,19,8843,4.28,True,0,0,61,51.9,-0.47894736842105273,2.5,18
5900,The Oaks,Mokena,IL,60448,41.524101,-87.880798,147,2003,Mixed,Mach 5,27,8840,4.28,True,0,1,85,75.8,-0.34074074074074084,3.67,47
530,Bond Lake DGC,Ransomville,NY,14131,43.180971,-78.909033,11028,2019,Turf,Prodigy,18,8836,4.28,True,2,1,68,63.4,-0.25555555555555565,4.0,1
6083,Trey Texas Ranch - Texas Twist,Mount Vernon,TX,75457,33.1126,-95.283,6621,2013,Concrete,DISCatcher,18,8833,4.28,True,1,1,68,64.2,-0.21111111111111094,4.3,15
977,Chainbiters at Brown's Farm,South Dayton,NY,14062,42.38098,-79.068995,2981,2004,Natural,Mach 2,22,8830,4.28,False,1,1,82,45.9,-1.6409090909090909,4.16,16
6582,Wildlife Prairie Park DGC,Hanna City (Peoria),IL,61536,40.735381,-89.747164,4228,2010,Concrete,Chainstar,18,8828,4.28,True,2,2,64,68.7,0.2611111111111113,4.15,10
2787,Jack McLean Park,Tallahassee,FL,32305,30.406389,-84.2725,450,2006,Concrete,Mach 3,24,8821,4.27,True,1,2,75,79.9,0.2041666666666669,3.44,27
6728,Wyandotte County Park,Bonner Springs,KS,66012,39.104258,-94.867207,70,2001,Concrete,Mach 3,18,8810,4.27,True,1,0,63,55.3,-0.4277777777777779,3.5,36
2657,Hudson Mills Metropark - Monster,Dexter,MI,48130,42.375967,-83.905817,447,1996,Concrete,DISCatcher,24,8808,4.27,True,1,1,81,73.8,-0.3000000000000001,4.17,36
571,Brakewell Steel / Warwick Park,Warwick,NY,10990,41.296744,-74.388197,17,1999,Concrete,Mach 3,36,8805,4.27,True,1,1,67,62.0,-0.1388888888888889,4.56,63
738,Caliber DGC,Sandpoint,ID,83864,48.411031,-116.505786,9635,2017,Turf,DISCatcher,18,8788,4.26,True,1,1,65,62.8,-0.12222222222222238,4.57,7
2528,Highbridge Hills - The Bear,Highbridge,WI,54846,46.3689,-90.746803,388,2006,Concrete,Mixed,18,8787,4.26,False,1,2,71,70.3,-0.03888888888888905,3.73,13
2261,Green Jay DGC,McAllen,TX,78503,26.178504,-98.268442,8381,2016,Concrete,DISCatcher,18,8786,4.26,True,0,1,58,61.9,0.2166666666666666,3.38,4
2719,Indian Camp Creek Park,Foristell,MO,63348,38.881287,-90.925255,6253,2013,Concrete,Mach 3,18,8782,4.26,True,1,0,60,52.0,-0.4444444444444444,3.73,11
5703,Sunset Park,Las Vegas,NV,89112,36.070716,-115.11581,899,1977,Concrete,Mach 2,24,8775,4.26,True,0,0,72,64.5,-0.3125,2.99,59
3972,Nantucket DGC,Nantucket,MA,02554,41.260791,-70.079851,4718,2011,Rubber,DISCatcher,18,8773,4.26,True,0,1,68,63.1,-0.27222222222222214,4.5,13
3305,Leviathan,Ludington,MI,49431,43.967616,-86.419208,1476,2006,Mixed,Chainstar,24,8772,4.25,True,1,2,83,83.3,0.012499999999999881,4.36,35
2279,Greenfield DGC,Troutville,VA,24175,37.4334,-79.9263,6839,2014,Concrete,DISCatcher,18,8740,4.24,True,1,1,61,61.4,0.022222222222222143,4.12,30
1679,Eastern Avenue Park,Davenport,IA,52807,41.551785,-90.551903,177,2002,Concrete,Mach 2,19,8733,4.24,True,0,0,75,57.9,-0.9,3.28,16
595,Brent Hambrick Memorial DGC,Columbus,OH,43081,40.108086,-82.877701,131,1990,Concrete,Mach X,27,8729,4.24,True,0,1,91,77.0,-0.5185185185185185,3.81,59
3671,McLouth Park,Trenton,MI,48183,42.141381,-83.206436,10082,2018,Grass,Chainstar,18,8726,4.24,False,0,0,64,56.2,-0.4333333333333332,2.67,3
2526,Highbridge Hills - Granite Ridge,Highbridge,WI,54846,46.368397,-90.746368,387,2004,Concrete,Mach 3,18,8725,4.24,True,2,1,62,58.3,-0.2055555555555557,4.57,35
2250,Graviss McDonald's DGC,Versailles,KY,40383,38.050046,-84.7635,8756,2016,Concrete,Prodigy,18,8723,4.24,True,2,0,63,56.4,-0.36666666666666675,3.88,4
5818,The Canyons,Lockport,IL,60441,41.571664,-88.061771,7130,2014,Concrete,Mach X,27,8720,4.24,True,1,1,88,80.4,-0.2814814814814813,4.48,45
3644,McClelland Park,Joplin,MO,64804,37.037067,-94.544917,559,1998,Concrete,Monkey Trap,27,8717,4.23,False,1,1,81,69.9,-0.4111111111111109,3.56,26
1642,Eagles Nest,Lancaster,OH,43130,39.675843,-82.569227,10244,2018,Concrete,DISCatcher,18,8700,4.23,True,2,1,57,58.8,0.09999999999999984,4.0,1
4410,Peak One DGC,Frisco,CO,80443,39.575717,-106.076378,1292,1997,Concrete,DISCatcher,27,8699,4.23,True,1,2,83,82.4,-0.02222222222222201,3.71,34
5435,Sontag DGC,Rocky Mount,VA,24151,36.936489,-79.851873,5524,2008,Mixed,DISCatcher,18,8678,4.22,True,1,2,64,69.7,0.3166666666666668,3.54,12
6071,Trail of Tears Park,Hopkinsville,KY,42240,36.852397,-87.469482,9645,2017,Concrete,Mach X,18,8675,4.22,True,0,1,65,62.3,-0.15000000000000016,3.3,5
5027,Root River Parkway DGC,Greendale,WI,53129,42.949473,-88.022021,6244,2013,Concrete,Chainstar,18,8652,4.21,True,0,1,57,52.2,-0.2666666666666665,3.0,20
4178,Oak Mountain,Speculator,NY,12164,43.513147,-74.360438,8486,2015,Natural,DISCatcher,18,8650,4.21,True,2,1,72,62.7,-0.5166666666666665,3.5,2
3921,Mt. Airy Forest,Cincinnati,OH,45239,39.172534,-84.574277,471,1993,Concrete,DGA,18,8640,4.2,True,2,1,59,60.2,0.06666666666666682,4.12,116
2715,Independence Lake - Red Hawk Original,Whitmore Lake,MI,48189,42.406664,-83.795332,3096,2009,Concrete,Mach 3,24,8640,4.2,True,1,1,74,71.1,-0.12083333333333357,4.06,31
4677,Pymatuning State Park,Jamestown,PA,16134,41.505283,-80.470688,140,2007,Mixed,DGA,18,8640,4.2,True,1,1,66,63.4,-0.14444444444444451,3.39,19
1126,Cliff Stephens Park,Clearwater,FL,33755,27.973411,-82.722931,436,1986,Concrete,DISCatcher,25,8628,4.2,True,0,1,75,72.1,-0.11600000000000023,3.91,70
