,name,locality,region,postal_code,latitude,longitude,dgcr_id,year_established,tee_type,basket_type,holes,length,hours_to_play,multiple_layouts,hills,woods,par,sse,difficulty,rating,rating_count
4184,Oakboro District Park,Oakboro,NC,28129,35.218303,-80.318154,6214,2013,Concrete,DISCatcher,18,4527,2.65,True,0,2,55,48.6,-0.35555555555555546,3.27,11
4156,Northwood DGC,Northwood,IA,50459,43.442209,-93.224981,1625,2006,Grass,Chainstar,18,4527,2.65,False,0,1,54,45.6,-0.46666666666666656,2.6,5
5854,The Greens,Lockport,NY,14094,43.179563,-78.702954,10777,2019,Natural,Prodigy,18,4526,2.65,False,1,1,55,45.4,-0.5333333333333334,2.83,3
4693,Quivira DGC,Marquette,KS,67464,38.556744,-97.829811,8488,2016,Concrete,DISCatcher,18,4524,2.65,False,1,2,54,48.6,-0.29999999999999993,3.63,4
2290,Greenwood Park,Baker,LA,70704,30.567154,-91.162613,73,1992,Concrete,Mach 3,18,4521,2.65,False,0,1,54,45.2,-0.4888888888888887,3.27,15
5252,Sewee Outpost,Awendaw,SC,29429,32.929265,-79.71301,6174,2013,Rubber,DISCatcher,18,4517,2.65,False,0,2,55,48.5,-0.3611111111111111,3.61,18
2823,Jaycee Park,Kentwood,MI,49512,42.861216,-85.635366,558,2002,Concrete,DISCatcher,18,4515,2.64,False,0,2,54,48.5,-0.3055555555555556,2.91,34
797,Camp Olympic Park,Emmaus,PA,18049,40.537559,-75.51937,11304,2019,Mixed,DISCatcher,18,4514,2.64,False,1,1,54,45.3,-0.4833333333333335,2.5,1
1606,Dupree Park,Jacksonville,AR,72120,34.852393,-92.130602,1207,2007,Concrete,Mach 3,18,4512,2.64,False,0,2,54,48.5,-0.3055555555555556,2.75,18
2229,Grand Geneva Resort & Spa,Lake Geneva,WI,53147,42.609822,-88.391983,7883,2015,Natural,DISCatcher,18,4512,2.64,True,1,0,55,42.3,-0.7055555555555557,3.0,2
6009,Timmons Park,Greenville,SC,29607,34.865398,-82.375931,270,1999,Concrete,DISCatcher,18,4510,2.64,False,1,1,54,45.3,-0.4833333333333335,3.49,51
2417,Hatten Stadium Park,New London,WI,54961,44.385484,-88.752526,1349,2003,Concrete,Mach 3,18,4501,2.64,True,0,1,62,45.5,-0.9166666666666666,2.83,20
5884,The Lost Forrest,Huachuca City,AZ,85616,31.716139,-110.339137,9895,2018,Other,Other,18,4500,2.64,False,0,1,59,42.9,-0.8944444444444445,0.5,1
6649,Wine Cellar DGC,Dunbar,WV,25064,38.379253,-81.737408,6853,2014,Regrind,DISCatcher,18,4496,2.64,False,1,2,55,49.9,-0.28333333333333344,3.13,8
3764,Mike Miller County Park DGC,Benton,KY,42025,36.938775,-88.348822,2535,2008,Concrete,DISCatcher,18,4496,2.64,False,2,1,54,45.2,-0.4888888888888887,3.19,18
2303,Grizzly Oaks,Rochester Hills,MI,48309,42.677072,-83.209433,7948,2015,Rubber,Mach 2,18,4494,2.64,False,0,1,54,45.2,-0.4888888888888887,2.0,2
3028,Kiwanis/Rotary Park DGC,Olney,IL,62450,38.75907,-88.052523,2812,2018,Concrete,Mach 3,18,4493,2.64,True,0,1,55,48.6,-0.35555555555555546,2.73,11
6294,Veterans Park DGC,Alabaster,AL,35007,33.186289,-86.829161,7450,2015,Rubber,Mach 3,18,4491,2.64,False,0,0,54,42.2,-0.6555555555555554,3.0,5
3308,Lewis Lake DGC,Tampa,FL,33621,27.833239,-82.484038,7617,2014,Concrete,DISCatcher,24,4490,2.64,True,0,1,40,38.2,-0.07499999999999989,2.5,3
656,Buccaneer State Park,Waveland,MS,39576,30.26495,-89.4045,723,1997,Concrete,DISCatcher,18,4488,2.63,False,0,1,54,46.4,-0.4222222222222223,2.46,12
2574,Hinson Lake DGC,Rockingham,NC,28379,34.93642,-79.749928,10608,2018,Gravel,DISCatcher,18,4480,2.63,False,1,1,56,45.2,-0.5999999999999999,3.5,3
2587,Hocking College DGC,Nelsonville,OH,45764,39.442441,-82.220317,2592,2006,Dirt,Basket,18,4480,2.63,True,2,2,55,47.4,-0.4222222222222223,3.48,23
1005,Chautauqua City Park,Fairfield,IA,52556,41.007552,-91.948571,4187,1987,Concrete,DISCatcher,18,4478,2.63,False,1,1,66,45.3,-1.1500000000000001,3.88,8
149,Archer Park DGC,Elwood,IL,60421,41.402692,-88.118349,10649,2018,Concrete,Latitude 64 Pro,10,4476,2.63,False,2,1,35,34.1,-0.08999999999999986,2.5,1
